order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000038,flipkart,3061.00,0.17,520.37,2413.29,booked,
ord_000039,flipkart,2620.00,0.15,393.00,2127.44,booked,
ord_000040,amazon,2965.00,0.22,652.30,2162.67,booked,
ord_000041,offline,1594.25,0.02,31.89,1556.62,booked,
ord_000042,website,2401.00,0.02,0.00,0.00,booked,
ord_000043,amazon,4185.00,0.24,1004.40,2953.77,booked,
ord_000044,flipkart,3135.00,0.15,470.25,2545.61,booked,
ord_000045,flipkart,4289.00,0.22,943.58,3128.40,booked,
ord_000046,flipkart,1638.00,0.19,311.22,1252.74,booked,
ord_000047,myntra,2565.00,0.25,641.25,1780.10,booked,
ord_000048,flipkart,1269.00,0.17,215.73,1000.48,booked,
ord_000049,flipkart,2184.00,0.19,414.96,1670.33,booked,
ord_000050,website,5637.00,0.02,0.00,0.00,booked,
ord_000051,amazon,903.00,0.22,0.00,0.00,booked,
ord_000052,offline,3452.00,0.02,69.04,3370.53,booked,
ord_000053,myntra,1218.00,0.25,304.50,845.29,booked,
ord_000054,flipkart,1986.00,0.22,436.92,1448.58,booked,
ord_000055,offline,4923.00,0.02,98.46,4806.82,booked,
ord_000056,amazon,3063.00,0.24,735.12,2161.87,booked,
ord_000057,myntra,1258.00,0.25,314.50,873.05,booked,
ord_000058,offline,5015.00,0.02,100.30,4896.65,booked,
ord_000059,offline,1562.00,0.02,31.24,1525.14,booked,
ord_000060,amazon,3484.00,0.24,0.00,0.00,booked,
ord_000061,flipkart,2962.00,0.15,444.30,2405.15,booked,
ord_000062,myntra,3913.00,0.25,978.25,2715.62,booked,
ord_000063,flipkart,2666.50,0.15,399.98,2165.18,booked,
ord_000066,amazon,4554.00,0.18,0.00,0.00,booked,
ord_000067,amazon,2092.00,0.18,376.56,1624.65,booked,
ord_000068,myntra,5091.00,0.25,1272.75,3533.15,booked,
ord_000069,myntra,850.50,0.25,212.63,590.24,booked,
ord_000071,amazon,4748.00,0.18,854.64,3687.29,booked,
ord_000072,amazon,3666.00,0.24,879.84,2587.46,booked,
ord_000075,amazon,3871.00,0.24,929.04,2732.15,booked,
ord_000078,flipkart,1712.00,0.19,325.28,1309.34,booked,
ord_000079,amazon,4414.00,0.22,971.08,3219.58,booked,
ord_000080,myntra,864.00,0.28,241.92,569.03,booked,
ord_000081,flipkart,3290.00,0.22,723.80,2399.73,booked,
ord_000084,flipkart,4087.99,0.19,776.72,3126.49,booked,
ord_000086,amazon,1070.00,0.20,214.00,805.71,booked,
ord_000087,flipkart,1309.00,0.15,196.35,1062.91,booked,
ord_000091,amazon,3372.00,0.22,741.84,2459.54,booked,
ord_000092,myntra,4893.00,0.25,1223.25,3395.74,booked,
ord_000093,myntra,5608.00,0.25,1402.00,3891.95,booked,
ord_000094,flipkart,3528.00,0.22,776.16,2573.32,booked,
ord_000095,flipkart,1309.00,0.19,0.00,0.00,booked,
ord_000096,myntra,2023.25,0.20,404.65,1523.51,booked,
ord_000097,amazon,1173.00,0.24,281.52,827.91,booked,
ord_000098,flipkart,657.50,0.15,98.63,533.88,booked,
ord_000099,amazon,4193.00,0.24,1006.32,2959.42,booked,
ord_000100,myntra,4495.50,0.20,899.10,3385.10,booked,
ord_000101,myntra,5924.00,0.28,1658.72,3901.55,booked,
ord_000103,flipkart,1660.00,0.17,282.20,1308.74,booked,
ord_000104,flipkart,2117.00,0.22,465.74,1544.14,booked,
ord_000105,amazon,4161.00,0.20,0.00,0.00,booked,
ord_000106,flipkart,1351.00,0.22,297.22,985.42,booked,
ord_000107,website,4904.00,0.02,98.08,4788.27,booked,
ord_000109,myntra,3277.00,0.25,819.25,2274.23,booked,
ord_000110,myntra,3894.25,0.22,856.74,2840.47,booked,
ord_000114,flipkart,4408.00,0.15,661.20,3579.29,booked,
ord_000115,amazon,1290.00,0.18,232.20,1001.81,booked,
ord_000116,myntra,1951.00,0.25,487.75,1353.99,booked,
ord_000117,website,4980.00,0.02,99.60,4862.47,booked,
ord_000118,flipkart,3852.00,0.15,577.80,3127.83,booked,
ord_000119,flipkart,1079.00,0.19,205.01,825.22,booked,
ord_000121,flipkart,938.00,0.19,178.22,717.38,booked,
ord_000122,amazon,618.00,0.22,135.96,450.77,booked,
ord_000123,myntra,1445.25,0.25,361.31,1003.00,booked,
ord_000125,amazon,1347.00,0.24,0.00,0.00,booked,
ord_000126,flipkart,3729.00,0.19,708.51,2851.94,booked,
ord_000127,amazon,1072.00,0.22,235.84,781.92,booked,
ord_000128,myntra,2878.00,0.20,575.60,2167.13,booked,
ord_000129,myntra,3765.00,0.22,828.30,2746.19,booked,
ord_000130,amazon,3428.00,0.22,754.16,2500.38,booked,
ord_000131,amazon,2426.00,0.20,0.00,0.00,booked,
ord_000132,amazon,1056.00,0.20,211.20,795.16,booked,
ord_000133,flipkart,2721.00,0.19,516.99,2081.02,booked,
ord_000134,amazon,2171.00,0.22,477.62,1583.53,booked,
ord_000136,myntra,4967.25,0.25,1241.81,3447.27,booked,
ord_000138,myntra,2524.00,0.28,706.72,1662.31,booked,
ord_000141,flipkart,1607.00,0.17,0.00,0.00,booked,
ord_000142,amazon,3681.00,0.18,662.58,2858.67,booked,
ord_000143,flipkart,961.00,0.15,144.15,780.33,booked,
ord_000144,flipkart,2470.00,0.17,419.90,1947.35,booked,
ord_000145,myntra,3427.00,0.28,0.00,0.00,booked,
ord_000146,flipkart,3319.99,0.17,564.40,2617.48,booked,
ord_000147,myntra,1090.00,0.25,272.50,756.46,booked,
ord_000148,amazon,4590.00,0.24,1101.60,3239.62,booked,
ord_000151,flipkart,1479.00,0.15,221.85,1200.95,booked,
ord_000152,amazon,1800.00,0.18,324.00,1397.88,booked,
ord_000153,myntra,5154.00,0.25,1288.50,3576.88,booked,
ord_000156,amazon,4320.00,0.24,1036.80,3049.06,booked,
ord_000158,amazon,2510.00,0.20,502.00,1890.03,booked,
ord_000159,amazon,1371.00,0.20,274.20,1032.36,booked,
ord_000160,myntra,1540.00,0.28,0.00,0.00,booked,
ord_000161,myntra,4924.00,0.28,1378.72,3242.95,booked,
ord_000162,amazon,2728.00,0.24,0.00,0.00,booked,
ord_000164,myntra,2733.00,0.25,683.25,1896.70,booked,
ord_000166,flipkart,1517.00,0.15,227.55,1231.80,booked,
ord_000170,amazon,743.00,0.24,178.32,524.41,booked,
ord_000171,flipkart,2732.99,0.22,601.26,1993.44,booked,
ord_000173,flipkart,2836.00,0.19,538.84,2168.97,booked,
ord_000174,amazon,2982.00,0.18,536.76,2315.82,booked,
ord_000176,flipkart,2260.00,0.19,429.40,1728.45,booked,
ord_000178,amazon,1280.00,0.18,0.00,0.00,booked,
ord_000180,myntra,3597.00,0.25,899.25,2496.31,booked,
ord_000181,myntra,5474.00,0.28,1532.72,3605.18,booked,
ord_000183,myntra,5755.00,0.28,1611.40,3790.24,booked,
ord_000184,myntra,1209.00,0.25,302.25,839.04,booked,
ord_000185,myntra,4390.00,0.28,1229.20,2891.25,booked,
ord_000186,myntra,1486.00,0.25,371.50,1031.28,booked,
ord_000191,amazon,1724.00,0.24,413.76,1216.80,booked,
ord_000193,myntra,1594.00,0.20,318.80,1200.29,booked,
ord_000195,myntra,3940.00,0.20,788.00,2966.82,booked,
ord_000196,amazon,4581.00,0.18,0.00,0.00,booked,
ord_000197,myntra,3378.00,0.25,844.50,2344.33,booked,
ord_000200,amazon,2902.00,0.20,580.40,2185.21,booked,
ord_000202,amazon,2014.00,0.24,483.36,1421.49,booked,
ord_000203,myntra,2858.00,0.20,571.60,2152.07,booked,
ord_000204,myntra,4721.50,0.25,1180.38,3276.71,booked,
ord_000205,amazon,4636.00,0.24,1112.64,3272.08,booked,
ord_000206,myntra,3528.00,0.20,705.60,2656.58,booked,
ord_000208,amazon,4896.00,0.20,979.20,3686.68,booked,
ord_000211,flipkart,981.00,0.22,215.82,715.54,booked,
ord_000214,myntra,1276.00,0.25,319.00,885.54,booked,
ord_000215,myntra,5243.00,0.25,1310.75,3638.64,booked,
ord_000216,flipkart,3377.99,0.19,641.82,2583.48,booked,
ord_000219,myntra,3960.00,0.25,990.00,2748.24,booked,
ord_000224,myntra,3699.00,0.28,1035.72,2436.16,booked,
ord_000233,myntra,4577.00,0.25,1144.25,3176.43,booked,
ord_000254,myntra,3035.00,0.25,758.75,2106.28,booked,
ord_000271,myntra,4175.00,0.25,1043.75,2897.44,booked,
ord_000280,myntra,3848.00,0.28,1077.44,2534.29,booked,
ord_000284,myntra,2512.00,0.25,628.00,1743.33,booked,
ord_000287,myntra,5945.00,0.25,1486.25,4125.82,booked,
ord_000288,myntra,4273.00,0.25,1068.25,2965.46,booked,
ord_000289,myntra,2465.00,0.25,616.25,1710.70,booked,
